Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Age Category,,descriptive statistics,,,,,Charts,,,,,,,
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,November,26-35,,Total Sales," $456,000 ",,,,,,,,,,,
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,February,26-35,,Average Sales, $456.00 ,,,,,,,,,,,
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,January,46-55,,Most Common Product Category,Clothing,,,,,,,,,,,
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,May,36-45,,Month with Highest Sales,May,,,,,,,,,,,
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,May,26-35,,Min Unit Price, $25.00 ,,,,,,,,,,,
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,April,36-45,,Max Unit Price, $500.00 ,,,,,,,,,,,
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,March,46-55,,Unit Price Range,$25 – $500,,,,,,,,,,,
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,February,26-35,,,,,,,,,,,,,,Product with Highest Sales : Clothing
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,December,56+,,,,,,,,,,,,,,
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,October,46-55,,Row Labels,Total Sales,,,,,,,,,,,
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,February,18-25,,Beauty," $143,515 ",,,,,,,,,,,
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,October,26-35,,Clothing," $155,580 ",,,,,,,,,,,
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,August,18-25,,Electronics," $156,905 ",,,,,,,,,,,
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,January,56+,,Grand Total,456000,,,,,,,,,,,
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,January,36-45,,,,,,,,,,,,,,
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,February,18-25,,,,,,,,,,,,,,
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,April,26-35,,,,,,,,,,,,,,
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,April,46-55,,Row Labels,Monthly Total Sales,,,,,,,,,,,
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,September,56+,,January," $36,980 ",,,,,,,,,,,
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,November,18-25,,February," $44,060 ",,,,,,,,,,,
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,January,46-55,,March," $28,990 ",,,,,,,,,,,
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,October,18-25,,April," $33,870 ",,,,,,,,,,,
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,April,26-35,,May," $53,150 ",,,,,,,,,,,
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,November,46-55,,June," $36,715 ",,,,,,,,,,,
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,December,56+,,July," $35,465 ",,,,,,,,,,,Top spending gender : Female
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,October,26-35,,August," $36,960 ",,,,,,,,,,,
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,August,36-45,,September," $23,620 ",,,,,,,,,,,
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,April,36-45,,October," $46,580 ",,,,,,,,,,,
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,August,36-45,,November," $34,920 ",,,,,,,,,,,
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,October,36-45,,December," $44,690 ",,,,,,,,,,,
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,May,36-45,,(blank),,,,,,,,,,,,
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,January,26-35,,Grand Total,456000,,,,,,,,,,,
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,March,46-55,,,,,,,,,,,,,,
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,December,46-55,,,,,,,,,,,,,,
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,August,56+,,Row Labels,Units Sold,,,,,,,,,,,
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,June,46-55,,Beauty,771,,,,,,,,,,,
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,May,18-25,,Clothing,894,,,,,,,,,,,
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,March,36-45,,Electronics,849,,,,,,,,,,,
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,April,18-25,,(blank),,,,,,,,,,,,
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,June,36-45,,Grand Total,2514,,,,,,,,,,,
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,February,26-35,,,,,,,,,,,,,,
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,February,18-25,,,,,,,,,,,,,,
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,July,46-55,,Row Labels,Total Sales,,,,,,,,,,,Top Spending Age Group : 46-55
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,February,18-25,,Female," $232,840 ",,,,,,,,,,,
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,July,46-55,,Male," $223,160 ",,,,,,,,,,,
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,June,18-25,,Grand Total,456000,,,,,,,,,,,
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,November,36-45,,,,,,,,,,,,,,
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,May,46-55,,,,,,,,,,,,,,
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,January,46-55,,Row Labels,Total Sales,,,,,,,,,,,
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,August,26-35,,18-25," $84,550 ",,,,,,,,,,,
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,October,26-35,,26-35," $98,480 ",,,,,,,,,,,
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,March,36-45,,36-45," $91,870 ",,,,,,,,,,,
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,July,26-35,,46-55," $100,690 ",,,,,,,,,,,
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,February,36-45,,56+," $80,410 ",,,,,,,,,,,
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,October,26-35,,Grand Total,456000,,,,,,,,,,,
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,May,26-35,,,,,,,,,,,,,,
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,November,56+,,,,,,,,,,,,,,
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,November,18-25,,,,,,,,,,,,,,
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,July,56+,,,,,,,,,,,,,,
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,October,26-35,,,,,,,,,,,,,,
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,April,18-25,,,,,,,,,,,,,,
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,December,18-25,,,,,,,,,,,,,,
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,February,56+,,,,,,,,,,,,,,
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,January,46-55,,,,,,,,,,,,,,
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,December,46-55,,,,,,,,,,,,,,
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,April,36-45,,,,,,,,,,,,,,
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,May,46-55,,,,,,,,,,,,,,
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,February,18-25,,,,,,,,,,,,,,
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,April,56+,,,,,,,,,,,,,,
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,February,36-45,,,,,,,,,,,,,,
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,July,46-55,,,,,,,,,,,,,,
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,May,18-25,,,,,,,,,,,,,,
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,August,26-35,,,,,,,,,,,,,,
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,November,18-25,,,,,,,,,,,,,,
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,July,56+,,,,,,,,,,,,,,
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,March,18-25,,,,,,,,,,,,,,
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,July,46-55,,,,,,,,,,,,,,
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,July,46-55,,,,,,,,,,,,,,
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,April,26-35,,,,,,,,,,,,,,
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,December,56+,,,,,,,,,,,,,,
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,May,36-45,,,,,,,,,,,,,,
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,December,26-35,,,,,,,,,,,,,,
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,December,46-55,,,,,,,,,,,,,,
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,November,36-45,,,,,,,,,,,,,,
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,February,26-35,,,,,,,,,,,,,,
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,November,18-25,,,,,,,,,,,,,,
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,November,26-35,,,,,,,,,,,,,,
88,3/29/2023,CUST088,Male,56,Clothing,1,500,500,March,56+,,,,,,,,,,,,,,
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000,October,46-55,,,,,,,,,,,,,,
90,5/6/2023,CUST090,Female,51,Electronics,1,30,30,May,46-55,,,,,,,,,,,,,,
91,3/25/2023,CUST091,Female,55,Electronics,1,500,500,March,46-55,,,,,,,,,,,,,,
92,8/25/2023,CUST092,Female,51,Electronics,4,30,120,August,46-55,,,,,,,,,,,,,,
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000,July,26-35,,,,,,,,,,,,,,
94,5/19/2023,CUST094,Female,47,Beauty,2,500,1000,May,46-55,,,,,,,,,,,,,,
95,11/24/2023,CUST095,Female,32,Clothing,2,30,60,November,26-35,,,,,,,,,,,,,,
96,12/19/2023,CUST096,Female,44,Clothing,2,300,600,December,36-45,,,,,,,,,,,,,,
97,10/13/2023,CUST097,Female,51,Beauty,2,500,1000,October,46-55,,,,,,,,,,,,,,
98,4/23/2023,CUST098,Female,55,Beauty,2,50,100,April,46-55,,,,,,,,,,,,,,
99,12/17/2023,CUST099,Female,50,Electronics,4,300,1200,December,46-55,,,,,,,,,,,,,,
100,6/16/2023,CUST100,Male,41,Electronics,1,30,30,June,36-45,,,,,,,,,,,,,,
101,1/29/2023,CUST101,Male,32,Clothing,2,300,600,January,26-35,,,,,,,,,,,,,,
102,4/28/2023,CUST102,Female,47,Beauty,2,25,50,April,46-55,,,,,,,,,,,,,,
103,1/17/2023,CUST103,Female,59,Clothing,1,25,25,January,56+,,,,,,,,,,,,,,
104,6/11/2023,CUST104,Female,34,Beauty,2,500,1000,June,26-35,,,,,,,,,,,,,,
105,7/25/2023,CUST105,Female,22,Electronics,1,500,500,July,18-25,,,,,,,,,,,,,,
106,5/18/2023,CUST106,Female,46,Clothing,1,50,50,May,46-55,,,,,,,,,,,,,,
107,2/3/2023,CUST107,Female,21,Clothing,4,300,1200,February,18-25,,,,,,,,,,,,,,
108,4/19/2023,CUST108,Female,27,Beauty,3,25,75,April,26-35,,,,,,,,,,,,,,
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000,October,26-35,,,,,,,,,,,,,,
110,6/11/2023,CUST110,Male,27,Clothing,3,300,900,June,26-35,,,,,,,,,,,,,,
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500,April,26-35,,,,,,,,,,,,,,
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500,December,36-45,,,,,,,,,,,,,,
113,9/13/2023,CUST113,Female,41,Electronics,2,25,50,September,36-45,,,,,,,,,,,,,,
114,7/22/2023,CUST114,Female,22,Beauty,4,25,100,July,18-25,,,,,,,,,,,,,,
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500,November,46-55,,,,,,,,,,,,,,
116,8/23/2023,CUST116,Female,23,Clothing,1,30,30,August,18-25,,,,,,,,,,,,,,
117,3/15/2023,CUST117,Male,19,Electronics,2,500,1000,March,18-25,,,,,,,,,,,,,,
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000,May,26-35,,,,,,,,,,,,,,
119,3/13/2023,CUST119,Female,60,Clothing,3,50,150,March,56+,,,,,,,,,,,,,,
120,5/7/2023,CUST120,Male,60,Beauty,1,50,50,May,56+,,,,,,,,,,,,,,
121,10/15/2023,CUST121,Female,28,Electronics,4,50,200,October,26-35,,,,,,,,,,,,,,
122,10/3/2023,CUST122,Male,64,Electronics,4,30,120,October,56+,,,,,,,,,,,,,,
123,5/15/2023,CUST123,Female,40,Electronics,2,30,60,May,36-45,,,,,,,,,,,,,,
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000,October,26-35,,,,,,,,,,,,,,
125,8/8/2023,CUST125,Male,48,Clothing,2,50,100,August,46-55,,,,,,,,,,,,,,
126,10/26/2023,CUST126,Female,28,Clothing,3,30,90,October,26-35,,,,,,,,,,,,,,
127,7/24/2023,CUST127,Female,33,Clothing,2,25,50,July,26-35,,,,,,,,,,,,,,
128,7/5/2023,CUST128,Male,25,Beauty,1,500,500,July,18-25,,,,,,,,,,,,,,
129,4/23/2023,CUST129,Female,21,Beauty,2,300,600,April,18-25,,,,,,,,,,,,,,
130,3/12/2023,CUST130,Female,57,Clothing,1,500,500,March,56+,,,,,,,,,,,,,,
131,9/18/2023,CUST131,Female,21,Beauty,2,300,600,September,18-25,,,,,,,,,,,,,,
132,9/10/2023,CUST132,Male,42,Electronics,4,50,200,September,36-45,,,,,,,,,,,,,,
133,2/16/2023,CUST133,Male,20,Electronics,3,300,900,February,18-25,,,,,,,,,,,,,,
134,1/25/2023,CUST134,Male,49,Electronics,1,50,50,January,46-55,,,,,,,,,,,,,,
135,2/26/2023,CUST135,Male,20,Clothing,2,25,50,February,18-25,,,,,,,,,,,,,,
136,3/20/2023,CUST136,Male,44,Electronics,2,300,600,March,36-45,,,,,,,,,,,,,,
137,11/18/2023,CUST137,Male,46,Beauty,2,500,1000,November,46-55,,,,,,,,,,,,,,
138,3/23/2023,CUST138,Male,49,Clothing,4,50,200,March,46-55,,,,,,,,,,,,,,
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000,December,36-45,,,,,,,,,,,,,,
140,8/5/2023,CUST140,Male,38,Electronics,1,30,30,August,36-45,,,,,,,,,,,,,,
141,11/2/2023,CUST141,Female,22,Electronics,1,50,50,November,18-25,,,,,,,,,,,,,,
142,2/2/2023,CUST142,Male,35,Electronics,4,300,1200,February,26-35,,,,,,,,,,,,,,
143,7/17/2023,CUST143,Female,45,Clothing,1,50,50,July,36-45,,,,,,,,,,,,,,
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500,July,56+,,,,,,,,,,,,,,
145,11/2/2023,CUST145,Female,39,Clothing,3,25,75,November,36-45,,,,,,,,,,,,,,
146,8/28/2023,CUST146,Male,38,Clothing,4,50,200,August,36-45,,,,,,,,,,,,,,
147,9/28/2023,CUST147,Male,23,Electronics,1,300,300,September,18-25,,,,,,,,,,,,,,
148,5/9/2023,CUST148,Male,18,Clothing,2,30,60,May,18-25,,,,,,,,,,,,,,
149,10/11/2023,CUST149,Male,22,Clothing,3,25,75,October,18-25,,,,,,,,,,,,,,
150,1/6/2023,CUST150,Female,58,Electronics,4,30,120,January,56+,,,,,,,,,,,,,,
151,12/15/2023,CUST151,Male,29,Clothing,1,50,50,December,26-35,,,,,,,,,,,,,,
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000,February,36-45,,,,,,,,,,,,,,
153,12/16/2023,CUST153,Male,63,Electronics,2,500,1000,December,56+,,,,,,,,,,,,,,
154,10/2/2023,CUST154,Male,51,Electronics,3,300,900,October,46-55,,,,,,,,,,,,,,
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000,May,26-35,,,,,,,,,,,,,,
156,11/25/2023,CUST156,Female,43,Clothing,4,25,100,November,36-45,,,,,,,,,,,,,,
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000,June,56+,,,,,,,,,,,,,,
158,2/27/2023,CUST158,Female,44,Electronics,2,300,600,February,36-45,,,,,,,,,,,,,,
159,5/31/2023,CUST159,Male,26,Clothing,4,50,200,May,26-35,,,,,,,,,,,,,,
160,8/11/2023,CUST160,Female,43,Clothing,2,50,100,August,36-45,,,,,,,,,,,,,,
161,3/22/2023,CUST161,Male,64,Beauty,2,500,1000,March,56+,,,,,,,,,,,,,,
162,8/21/2023,CUST162,Male,39,Clothing,2,30,60,August,36-45,,,,,,,,,,,,,,
163,1/2/2023,CUST163,Female,64,Clothing,3,50,150,January,56+,,,,,,,,,,,,,,
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500,May,46-55,,,,,,,,,,,,,,
165,9/14/2023,CUST165,Female,60,Clothing,4,300,1200,September,56+,,,,,,,,,,,,,,
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000,April,26-35,,,,,,,,,,,,,,
167,9/17/2023,CUST167,Female,43,Clothing,3,50,150,September,36-45,,,,,,,,,,,,,,
168,2/24/2023,CUST168,Male,53,Clothing,1,300,300,February,46-55,,,,,,,,,,,,,,
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500,November,18-25,,,,,,,,,,,,,,
170,6/2/2023,CUST170,Female,25,Clothing,2,25,50,June,18-25,,,,,,,,,,,,,,
171,11/24/2023,CUST171,Female,52,Clothing,3,300,900,November,46-55,,,,,,,,,,,,,,
172,9/17/2023,CUST172,Male,32,Beauty,2,25,50,September,26-35,,,,,,,,,,,,,,
173,11/8/2023,CUST173,Male,64,Electronics,4,30,120,November,56+,,,,,,,,,,,,,,
174,4/12/2023,CUST174,Female,39,Beauty,1,300,300,April,36-45,,,,,,,,,,,,,,
175,3/20/2023,CUST175,Female,31,Electronics,4,25,100,March,26-35,,,,,,,,,,,,,,
176,7/11/2023,CUST176,Female,43,Beauty,2,50,100,July,36-45,,,,,,,,,,,,,,
177,3/24/2023,CUST177,Male,45,Beauty,2,50,100,March,36-45,,,,,,,,,,,,,,
178,10/4/2023,CUST178,Male,40,Clothing,2,30,60,October,36-45,,,,,,,,,,,,,,
179,9/29/2023,CUST179,Male,31,Electronics,1,300,300,September,26-35,,,,,,,,,,,,,,
180,1/1/2023,CUST180,Male,41,Clothing,3,300,900,January,36-45,,,,,,,,,,,,,,
181,11/3/2023,CUST181,Male,19,Electronics,4,300,1200,November,18-25,,,,,,,,,,,,,,
182,6/15/2023,CUST182,Male,62,Beauty,4,30,120,June,56+,,,,,,,,,,,,,,
183,9/8/2023,CUST183,Female,43,Beauty,3,300,900,September,36-45,,,,,,,,,,,,,,
184,1/10/2023,CUST184,Male,31,Electronics,4,50,200,January,26-35,,,,,,,,,,,,,,
185,2/27/2023,CUST185,Male,24,Clothing,1,25,25,February,18-25,,,,,,,,,,,,,,
186,7/5/2023,CUST186,Male,20,Clothing,4,50,200,July,18-25,,,,,,,,,,,,,,
187,6/7/2023,CUST187,Female,64,Clothing,2,50,100,June,56+,,,,,,,,,,,,,,
188,5/3/2023,CUST188,Male,40,Clothing,3,25,75,May,36-45,,,,,,,,,,,,,,
189,1/30/2023,CUST189,Male,63,Beauty,1,50,50,January,56+,,,,,,,,,,,,,,
190,5/4/2023,CUST190,Female,60,Beauty,3,30,90,May,56+,,,,,,,,,,,,,,
191,10/18/2023,CUST191,Male,64,Beauty,1,25,25,October,56+,,,,,,,,,,,,,,
192,2/10/2023,CUST192,Male,62,Beauty,2,50,100,February,56+,,,,,,,,,,,,,,
193,2/13/2023,CUST193,Male,35,Beauty,3,500,1500,February,26-35,,,,,,,,,,,,,,
194,9/6/2023,CUST194,Male,55,Clothing,4,50,200,September,46-55,,,,,,,,,,,,,,
195,2/5/2023,CUST195,Male,52,Clothing,1,30,30,February,46-55,,,,,,,,,,,,,,
196,9/30/2023,CUST196,Female,32,Clothing,3,300,900,September,26-35,,,,,,,,,,,,,,
197,3/6/2023,CUST197,Female,42,Clothing,4,50,200,March,36-45,,,,,,,,,,,,,,
198,3/7/2023,CUST198,Female,54,Beauty,3,300,900,March,46-55,,,,,,,,,,,,,,
199,12/4/2023,CUST199,Male,45,Beauty,3,500,1500,December,36-45,,,,,,,,,,,,,,
200,9/1/2023,CUST200,Male,27,Beauty,3,50,150,September,26-35,,,,,,,,,,,,,,
201,10/9/2023,CUST201,Male,56,Electronics,1,25,25,October,56+,,,,,,,,,,,,,,
202,3/26/2023,CUST202,Female,34,Clothing,4,300,1200,March,26-35,,,,,,,,,,,,,,
203,5/16/2023,CUST203,Male,56,Clothing,2,500,1000,May,56+,,,,,,,,,,,,,,
204,9/28/2023,CUST204,Male,39,Beauty,1,25,25,September,36-45,,,,,,,,,,,,,,
205,11/7/2023,CUST205,Female,43,Clothing,1,25,25,November,36-45,,,,,,,,,,,,,,
206,8/5/2023,CUST206,Male,61,Clothing,1,25,25,August,56+,,,,,,,,,,,,,,
207,4/19/2023,CUST207,Female,42,Beauty,2,25,50,April,36-45,,,,,,,,,,,,,,
208,10/4/2023,CUST208,Female,34,Electronics,4,50,200,October,26-35,,,,,,,,,,,,,,
209,12/20/2023,CUST209,Female,30,Electronics,4,50,200,December,26-35,,,,,,,,,,,,,,
210,4/13/2023,CUST210,Male,37,Electronics,4,50,200,April,36-45,,,,,,,,,,,,,,
211,1/1/2024,CUST211,Male,42,Beauty,3,500,1500,January,36-45,,,,,,,,,,,,,,
212,6/9/2023,CUST212,Male,21,Clothing,3,500,1500,June,18-25,,,,,,,,,,,,,,
213,7/24/2023,CUST213,Male,27,Beauty,3,500,1500,July,26-35,,,,,,,,,,,,,,
214,12/10/2023,CUST214,Male,20,Beauty,2,30,60,December,18-25,,,,,,,,,,,,,,
215,11/29/2023,CUST215,Male,58,Clothing,3,500,1500,November,56+,,,,,,,,,,,,,,
216,7/11/2023,CUST216,Male,62,Electronics,2,50,100,July,56+,,,,,,,,,,,,,,
217,8/13/2023,CUST217,Female,35,Electronics,4,50,200,August,26-35,,,,,,,,,,,,,,
218,9/22/2023,CUST218,Male,64,Beauty,3,30,90,September,56+,,,,,,,,,,,,,,
219,8/20/2023,CUST219,Female,53,Electronics,3,30,90,August,46-55,,,,,,,,,,,,,,
220,3/3/2023,CUST220,Male,64,Beauty,1,500,500,March,56+,,,,,,,,,,,,,,
221,5/7/2023,CUST221,Male,39,Beauty,2,300,600,May,36-45,,,,,,,,,,,,,,
222,4/26/2023,CUST222,Male,51,Clothing,4,30,120,April,46-55,,,,,,,,,,,,,,
223,2/2/2023,CUST223,Female,64,Clothing,1,25,25,February,56+,,,,,,,,,,,,,,
224,6/23/2023,CUST224,Female,25,Clothing,1,50,50,June,18-25,,,,,,,,,,,,,,
225,1/11/2023,CUST225,Female,57,Beauty,4,25,100,January,56+,,,,,,,,,,,,,,
226,10/29/2023,CUST226,Female,61,Clothing,1,50,50,October,56+,,,,,,,,,,,,,,
227,10/11/2023,CUST227,Male,36,Electronics,2,50,100,October,36-45,,,,,,,,,,,,,,
228,4/28/2023,CUST228,Female,59,Electronics,2,30,60,April,56+,,,,,,,,,,,,,,
229,10/29/2023,CUST229,Male,58,Beauty,3,30,90,October,56+,,,,,,,,,,,,,,
230,4/23/2023,CUST230,Male,54,Beauty,1,25,25,April,46-55,,,,,,,,,,,,,,
231,1/4/2023,CUST231,Female,23,Clothing,3,50,150,January,18-25,,,,,,,,,,,,,,
232,2/6/2023,CUST232,Female,43,Beauty,1,25,25,February,36-45,,,,,,,,,,,,,,
233,12/29/2023,CUST233,Female,51,Beauty,2,300,600,December,46-55,,,,,,,,,,,,,,
234,11/20/2023,CUST234,Female,62,Electronics,2,25,50,November,56+,,,,,,,,,,,,,,
235,1/31/2023,CUST235,Female,23,Electronics,2,500,1000,January,18-25,,,,,,,,,,,,,,
236,4/28/2023,CUST236,Female,54,Clothing,1,25,25,April,46-55,,,,,,,,,,,,,,
237,2/4/2023,CUST237,Female,50,Beauty,2,500,1000,February,46-55,,,,,,,,,,,,,,
238,1/17/2023,CUST238,Female,39,Beauty,1,500,500,January,36-45,,,,,,,,,,,,,,
239,6/19/2023,CUST239,Male,38,Electronics,3,500,1500,June,36-45,,,,,,,,,,,,,,
240,2/6/2023,CUST240,Female,23,Beauty,1,300,300,February,18-25,,,,,,,,,,,,,,
