Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Age Category,,descriptive statistics,,,,,Charts,,,,,,,
241,9/21/2023,CUST241,Female,23,Electronics,3,25,75,September,18-25,,,,,,,,,,,,,,
242,5/2/2023,CUST242,Male,21,Clothing,1,25,25,May,18-25,,,,,,,,,,,,,,
243,5/23/2023,CUST243,Female,47,Electronics,3,300,900,May,46-55,,,,,,,,,,,,,,
244,12/9/2023,CUST244,Male,28,Beauty,2,50,100,December,26-35,,,,,,,,,,,,,,
245,9/6/2023,CUST245,Male,47,Clothing,3,30,90,September,46-55,,,,,,,,,,,,,,
246,4/20/2023,CUST246,Female,48,Electronics,2,25,50,April,46-55,,,,,,,,,,,,,,
247,10/4/2023,CUST247,Male,41,Electronics,2,30,60,October,36-45,,,,,,,,,,,,,,
248,3/9/2023,CUST248,Male,26,Clothing,3,300,900,March,26-35,,,,,,,,,,,,,,
249,10/20/2023,CUST249,Male,20,Clothing,1,50,50,October,18-25,,,,,,,,,,,,,,
250,10/23/2023,CUST250,Male,48,Electronics,1,50,50,October,46-55,,,,,,,,,,,,,,
251,8/31/2023,CUST251,Female,57,Beauty,4,50,200,August,56+,,,,,,,,,,,,,,
252,5/5/2023,CUST252,Male,54,Electronics,1,300,300,May,46-55,,,,,,,,,,,,,,
253,8/31/2023,CUST253,Female,53,Clothing,4,500,2000,August,46-55,,,,,,,,,,,,,,
254,7/28/2023,CUST254,Male,41,Electronics,1,500,500,July,36-45,,,,,,,,,,,,,,
255,4/8/2023,CUST255,Male,48,Clothing,1,30,30,April,46-55,,,,,,,,,,,,,,
256,2/18/2023,CUST256,Male,23,Clothing,2,500,1000,February,18-25,,,,,,,,,,,,,,
257,2/19/2023,CUST257,Male,19,Beauty,4,500,2000,February,18-25,,,,,,,,,,,,,,
258,12/4/2023,CUST258,Female,37,Clothing,1,50,50,December,36-45,,,,,,,,,,,,,,
259,8/9/2023,CUST259,Female,45,Clothing,4,50,200,August,36-45,,,,,,,,,,,,,,
260,7/1/2023,CUST260,Male,28,Beauty,2,30,60,July,26-35,,,,,,,,,,,,,,
261,8/5/2023,CUST261,Male,21,Clothing,2,25,50,August,18-25,,,,,,,,,,,,,,
262,7/30/2023,CUST262,Female,32,Beauty,4,30,120,July,26-35,,,,,,,,,,,,,,
263,8/28/2023,CUST263,Male,23,Beauty,2,30,60,August,18-25,,,,,,,,,,,,,,
264,1/28/2023,CUST264,Male,47,Clothing,3,300,900,January,46-55,,,,,,,,,,,,,,
265,12/11/2023,CUST265,Male,55,Clothing,3,300,900,December,46-55,,,,,,,,,,,,,,
266,12/1/2023,CUST266,Female,19,Electronics,2,30,60,December,18-25,,,,,,,,,,,,,,
267,11/27/2023,CUST267,Female,32,Beauty,3,30,90,November,26-35,,,,,,,,,,,,,,
268,2/20/2023,CUST268,Female,28,Electronics,1,30,30,February,26-35,,,,,,,,,,,,,,
269,2/1/2023,CUST269,Male,25,Clothing,4,500,2000,February,18-25,,,,,,,,,,,,,,
270,7/26/2023,CUST270,Male,43,Electronics,1,300,300,July,36-45,,,,,,,,,,,,,,
271,6/23/2023,CUST271,Female,62,Beauty,4,30,120,June,56+,,,,,,,,,,,,,,
272,2/25/2023,CUST272,Female,61,Electronics,2,50,100,February,56+,,,,,,,,,,,,,,
273,5/8/2023,CUST273,Female,22,Beauty,1,50,50,May,18-25,,,,,,,,,,,,,,
274,4/9/2023,CUST274,Female,23,Clothing,2,500,1000,April,18-25,,,,,,,,,,,,,,
275,4/8/2023,CUST275,Male,43,Clothing,2,500,1000,April,36-45,,,,,,,,,,,,,,
276,10/2/2023,CUST276,Female,21,Beauty,4,25,100,October,18-25,,,,,,,,,,,,,,
277,8/18/2023,CUST277,Male,36,Clothing,4,25,100,August,36-45,,,,,,,,,,,,,,
278,3/13/2023,CUST278,Female,37,Clothing,4,25,100,March,36-45,,,,,,,,,,,,,,
279,8/5/2023,CUST279,Male,50,Clothing,1,500,500,August,46-55,,,,,,,,,,,,,,
280,4/4/2023,CUST280,Female,37,Clothing,3,500,1500,April,36-45,,,,,,,,,,,,,,
281,5/23/2023,CUST281,Female,29,Beauty,4,500,2000,May,26-35,,,,,,,,,,,,,,
282,8/25/2023,CUST282,Female,64,Electronics,4,50,200,August,56+,,,,,,,,,,,,,,
283,5/8/2023,CUST283,Female,18,Electronics,1,500,500,May,18-25,,,,,,,,,,,,,,
284,2/8/2023,CUST284,Male,43,Clothing,4,50,200,February,36-45,,,,,,,,,,,,,,
285,8/15/2023,CUST285,Female,31,Electronics,1,25,25,August,26-35,,,,,,,,,,,,,,
286,10/9/2023,CUST286,Male,55,Electronics,2,25,50,October,46-55,,,,,,,,,,,,,,
287,2/20/2023,CUST287,Male,54,Clothing,4,25,100,February,46-55,,,,,,,,,,,,,,
288,1/26/2023,CUST288,Male,28,Clothing,4,30,120,January,26-35,,,,,,,,,,,,,,
289,11/30/2023,CUST289,Male,53,Electronics,2,30,60,November,46-55,,,,,,,,,,,,,,
290,10/4/2023,CUST290,Female,30,Beauty,2,300,600,October,26-35,,,,,,,,,,,,,,
291,1/8/2023,CUST291,Male,60,Clothing,2,300,600,January,56+,,,,,,,,,,,,,,
292,2/17/2023,CUST292,Male,20,Beauty,4,300,1200,February,18-25,,,,,,,,,,,,,,
293,5/2/2023,CUST293,Male,50,Electronics,3,30,90,May,46-55,,,,,,,,,,,,,,
294,3/27/2023,CUST294,Female,23,Clothing,3,30,90,March,18-25,,,,,,,,,,,,,,
295,7/28/2023,CUST295,Female,27,Beauty,3,300,900,July,26-35,,,,,,,,,,,,,,
296,9/6/2023,CUST296,Female,22,Clothing,4,300,1200,September,18-25,,,,,,,,,,,,,,
297,9/4/2023,CUST297,Female,40,Electronics,2,500,1000,September,36-45,,,,,,,,,,,,,,
298,4/20/2023,CUST298,Male,27,Beauty,4,300,1200,April,26-35,,,,,,,,,,,,,,
299,7/25/2023,CUST299,Male,61,Electronics,2,500,1000,July,56+,,,,,,,,,,,,,,
300,1/31/2023,CUST300,Female,19,Electronics,4,50,200,January,18-25,,,,,,,,,,,,,,
301,3/26/2023,CUST301,Male,30,Clothing,4,30,120,March,26-35,,,,,,,,,,,,,,
302,7/14/2023,CUST302,Male,57,Beauty,2,300,600,July,56+,,,,,,,,,,,,,,
303,1/2/2023,CUST303,Male,19,Electronics,3,30,90,January,18-25,,,,,,,,,,,,,,
304,7/19/2023,CUST304,Female,37,Electronics,2,30,60,July,36-45,,,,,,,,,,,,,,
305,5/16/2023,CUST305,Female,18,Beauty,1,30,30,May,18-25,,,,,,,,,,,,,,
306,8/21/2023,CUST306,Male,54,Electronics,1,50,50,August,46-55,,,,,,,,,,,,,,
307,5/27/2023,CUST307,Female,26,Electronics,2,25,50,May,26-35,,,,,,,,,,,,,,
308,8/5/2023,CUST308,Female,34,Beauty,4,300,1200,August,26-35,,,,,,,,,,,,,,
309,12/23/2023,CUST309,Female,26,Beauty,1,25,25,December,26-35,,,,,,,,,,,,,,
310,10/12/2023,CUST310,Female,28,Beauty,1,25,25,October,26-35,,,,,,,,,,,,,,
311,12/5/2023,CUST311,Female,32,Beauty,4,25,100,December,26-35,,,,,,,,,,,,,,
312,9/7/2023,CUST312,Male,41,Clothing,4,30,120,September,36-45,,,,,,,,,,,,,,
313,3/21/2023,CUST313,Female,55,Beauty,3,500,1500,March,46-55,,,,,,,,,,,,,,
314,4/8/2023,CUST314,Male,52,Clothing,4,30,120,April,46-55,,,,,,,,,,,,,,
315,6/1/2023,CUST315,Male,47,Clothing,2,30,60,June,46-55,,,,,,,,,,,,,,
316,4/22/2023,CUST316,Female,48,Clothing,2,25,50,April,46-55,,,,,,,,,,,,,,
317,1/30/2023,CUST317,Male,22,Electronics,3,30,90,January,18-25,,,,,,,,,,,,,,
318,10/24/2023,CUST318,Male,61,Clothing,1,25,25,October,56+,,,,,,,,,,,,,,
319,10/5/2023,CUST319,Male,31,Clothing,1,500,500,October,26-35,,,,,,,,,,,,,,
320,2/1/2023,CUST320,Female,28,Electronics,4,300,1200,February,26-35,,,,,,,,,,,,,,
321,6/10/2023,CUST321,Female,26,Electronics,2,25,50,June,26-35,,,,,,,,,,,,,,
322,1/30/2023,CUST322,Male,51,Electronics,1,500,500,January,46-55,,,,,,,,,,,,,,
323,1/26/2023,CUST323,Female,29,Beauty,3,300,900,January,26-35,,,,,,,,,,,,,,
324,10/27/2023,CUST324,Female,52,Electronics,3,50,150,October,46-55,,,,,,,,,,,,,,
325,9/2/2023,CUST325,Female,52,Electronics,2,25,50,September,46-55,,,,,,,,,,,,,,
326,9/15/2023,CUST326,Female,18,Clothing,3,25,75,September,18-25,,,,,,,,,,,,,,
327,9/29/2023,CUST327,Male,57,Electronics,3,50,150,September,56+,,,,,,,,,,,,,,
328,3/22/2023,CUST328,Male,39,Beauty,2,50,100,March,36-45,,,,,,,,,,,,,,
329,1/30/2023,CUST329,Female,46,Electronics,4,25,100,January,46-55,,,,,,,,,,,,,,
330,9/18/2023,CUST330,Female,25,Beauty,4,50,200,September,18-25,,,,,,,,,,,,,,
331,2/11/2023,CUST331,Male,28,Electronics,3,30,90,February,26-35,,,,,,,,,,,,,,
332,4/6/2023,CUST332,Male,58,Electronics,4,300,1200,April,56+,,,,,,,,,,,,,,
333,2/5/2023,CUST333,Female,54,Electronics,4,300,1200,February,46-55,,,,,,,,,,,,,,
334,11/1/2023,CUST334,Male,31,Electronics,3,300,900,November,26-35,,,,,,,,,,,,,,
335,2/4/2023,CUST335,Female,47,Beauty,4,30,120,February,46-55,,,,,,,,,,,,,,
336,12/12/2023,CUST336,Female,52,Beauty,3,50,150,December,46-55,,,,,,,,,,,,,,
337,5/1/2023,CUST337,Male,38,Clothing,1,500,500,May,36-45,,,,,,,,,,,,,,
338,7/26/2023,CUST338,Male,54,Beauty,2,50,100,July,46-55,,,,,,,,,,,,,,
339,3/3/2023,CUST339,Female,22,Electronics,2,25,50,March,18-25,,,,,,,,,,,,,,
340,10/19/2023,CUST340,Female,36,Clothing,4,300,1200,October,36-45,,,,,,,,,,,,,,
341,5/7/2023,CUST341,Male,31,Clothing,4,50,200,May,26-35,,,,,,,,,,,,,,
342,10/24/2023,CUST342,Female,43,Clothing,4,500,2000,October,36-45,,,,,,,,,,,,,,
343,11/1/2023,CUST343,Male,21,Electronics,2,25,50,November,18-25,,,,,,,,,,,,,,
344,1/21/2023,CUST344,Female,42,Beauty,1,30,30,January,36-45,,,,,,,,,,,,,,
345,11/14/2023,CUST345,Male,62,Electronics,1,30,30,November,56+,,,,,,,,,,,,,,
346,2/11/2023,CUST346,Male,59,Clothing,2,500,1000,February,56+,,,,,,,,,,,,,,
347,8/3/2023,CUST347,Male,42,Electronics,1,25,25,August,36-45,,,,,,,,,,,,,,
348,12/3/2023,CUST348,Female,35,Electronics,2,300,600,December,26-35,,,,,,,,,,,,,,
349,10/26/2023,CUST349,Female,57,Beauty,1,50,50,October,56+,,,,,,,,,,,,,,
350,10/17/2023,CUST350,Male,25,Beauty,3,25,75,October,18-25,,,,,,,,,,,,,,
351,9/25/2023,CUST351,Female,56,Clothing,3,30,90,September,56+,,,,,,,,,,,,,,
352,6/11/2023,CUST352,Male,57,Electronics,2,500,1000,June,56+,,,,,,,,,,,,,,
353,5/14/2023,CUST353,Male,31,Electronics,1,500,500,May,26-35,,,,,,,,,,,,,,
354,4/15/2023,CUST354,Female,49,Beauty,4,50,200,April,46-55,,,,,,,,,,,,,,
355,12/9/2023,CUST355,Female,55,Electronics,1,500,500,December,46-55,,,,,,,,,,,,,,
356,6/10/2023,CUST356,Male,50,Electronics,3,500,1500,June,46-55,,,,,,,,,,,,,,
357,5/3/2023,CUST357,Female,40,Electronics,3,25,75,May,36-45,,,,,,,,,,,,,,
358,5/16/2023,CUST358,Female,32,Beauty,1,300,300,May,26-35,,,,,,,,,,,,,,
359,7/22/2023,CUST359,Male,50,Clothing,1,50,50,July,46-55,,,,,,,,,,,,,,
360,3/9/2023,CUST360,Male,42,Clothing,4,25,100,March,36-45,,,,,,,,,,,,,,
361,12/10/2023,CUST361,Female,34,Electronics,4,300,1200,December,26-35,,,,,,,,,,,,,,
362,11/27/2023,CUST362,Male,50,Clothing,1,25,25,November,46-55,,,,,,,,,,,,,,
363,6/3/2023,CUST363,Male,64,Beauty,1,25,25,June,56+,,,,,,,,,,,,,,
364,8/23/2023,CUST364,Female,19,Beauty,1,500,500,August,18-25,,,,,,,,,,,,,,
365,6/11/2023,CUST365,Male,31,Clothing,1,300,300,June,26-35,,,,,,,,,,,,,,
366,2/7/2023,CUST366,Male,57,Clothing,2,50,100,February,56+,,,,,,,,,,,,,,
367,1/5/2023,CUST367,Female,57,Electronics,1,50,50,January,56+,,,,,,,,,,,,,,
368,8/23/2023,CUST368,Female,56,Clothing,4,300,1200,August,56+,,,,,,,,,,,,,,
369,11/15/2023,CUST369,Male,23,Electronics,3,500,1500,November,18-25,,,,,,,,,,,,,,
370,10/16/2023,CUST370,Male,23,Electronics,2,30,60,October,18-25,,,,,,,,,,,,,,
371,2/21/2023,CUST371,Female,20,Beauty,1,25,25,February,18-25,,,,,,,,,,,,,,
372,2/7/2023,CUST372,Female,24,Beauty,3,500,1500,February,18-25,,,,,,,,,,,,,,
373,10/3/2023,CUST373,Female,25,Beauty,2,300,600,October,18-25,,,,,,,,,,,,,,
374,4/20/2023,CUST374,Female,59,Beauty,3,25,75,April,56+,,,,,,,,,,,,,,
375,9/17/2023,CUST375,Male,32,Clothing,1,50,50,September,26-35,,,,,,,,,,,,,,
376,5/16/2023,CUST376,Female,64,Beauty,1,30,30,May,56+,,,,,,,,,,,,,,
377,3/9/2023,CUST377,Female,46,Clothing,4,50,200,March,46-55,,,,,,,,,,,,,,
378,6/28/2023,CUST378,Male,50,Beauty,1,300,300,June,46-55,,,,,,,,,,,,,,
379,2/5/2023,CUST379,Female,47,Clothing,1,25,25,February,46-55,,,,,,,,,,,,,,
380,5/6/2023,CUST380,Male,56,Electronics,2,300,600,May,56+,,,,,,,,,,,,,,
381,7/9/2023,CUST381,Female,44,Clothing,4,25,100,July,36-45,,,,,,,,,,,,,,
382,5/26/2023,CUST382,Female,53,Clothing,2,500,1000,May,46-55,,,,,,,,,,,,,,
383,3/22/2023,CUST383,Female,46,Beauty,3,30,90,March,46-55,,,,,,,,,,,,,,
384,8/13/2023,CUST384,Male,55,Clothing,1,500,500,August,46-55,,,,,,,,,,,,,,
385,10/6/2023,CUST385,Male,50,Electronics,3,500,1500,October,46-55,,,,,,,,,,,,,,
386,12/27/2023,CUST386,Female,54,Electronics,2,300,600,December,46-55,,,,,,,,,,,,,,
387,6/4/2023,CUST387,Male,44,Beauty,1,30,30,June,36-45,,,,,,,,,,,,,,
388,11/10/2023,CUST388,Male,50,Electronics,1,25,25,November,46-55,,,,,,,,,,,,,,
389,12/1/2023,CUST389,Male,21,Clothing,2,25,50,December,18-25,,,,,,,,,,,,,,
390,9/28/2023,CUST390,Male,39,Electronics,2,50,100,September,36-45,,,,,,,,,,,,,,
391,1/5/2023,CUST391,Male,19,Beauty,2,25,50,January,18-25,,,,,,,,,,,,,,
392,12/8/2023,CUST392,Male,27,Clothing,2,300,600,December,26-35,,,,,,,,,,,,,,
393,10/11/2023,CUST393,Female,22,Beauty,2,500,1000,October,18-25,,,,,,,,,,,,,,
394,6/3/2023,CUST394,Female,27,Clothing,1,500,500,June,26-35,,,,,,,,,,,,,,
395,12/6/2023,CUST395,Male,50,Electronics,2,500,1000,December,46-55,,,,,,,,,,,,,,
396,2/23/2023,CUST396,Female,55,Beauty,1,30,30,February,46-55,,,,,,,,,,,,,,
397,3/10/2023,CUST397,Female,30,Beauty,1,25,25,March,26-35,,,,,,,,,,,,,,
398,5/16/2023,CUST398,Female,48,Clothing,2,300,600,May,46-55,,,,,,,,,,,,,,
399,3/1/2023,CUST399,Female,64,Beauty,2,30,60,March,56+,,,,,,,,,,,,,,
400,2/24/2023,CUST400,Male,53,Clothing,4,50,200,February,46-55,,,,,,,,,,,,,,
401,10/11/2023,CUST401,Female,62,Clothing,1,300,300,October,56+,,,,,,,,,,,,,,
402,3/21/2023,CUST402,Female,41,Clothing,2,300,600,March,36-45,,,,,,,,,,,,,,
403,5/20/2023,CUST403,Male,32,Clothing,2,300,600,May,26-35,,,,,,,,,,,,,,
404,5/25/2023,CUST404,Male,46,Electronics,2,500,1000,May,46-55,,,,,,,,,,,,,,
405,11/6/2023,CUST405,Female,25,Clothing,4,300,1200,November,18-25,,,,,,,,,,,,,,
406,4/18/2023,CUST406,Female,22,Beauty,4,25,100,April,18-25,,,,,,,,,,,,,,
407,6/25/2023,CUST407,Female,46,Electronics,3,300,900,June,46-55,,,,,,,,,,,,,,
408,4/15/2023,CUST408,Female,64,Beauty,1,500,500,April,56+,,,,,,,,,,,,,,
409,12/18/2023,CUST409,Female,21,Electronics,3,300,900,December,18-25,,,,,,,,,,,,,,
410,11/21/2023,CUST410,Female,29,Clothing,2,50,100,November,26-35,,,,,,,,,,,,,,
411,5/16/2023,CUST411,Male,62,Electronics,4,50,200,May,56+,,,,,,,,,,,,,,
412,9/16/2023,CUST412,Female,19,Electronics,4,500,2000,September,18-25,,,,,,,,,,,,,,
413,9/8/2023,CUST413,Female,44,Beauty,3,25,75,September,36-45,,,,,,,,,,,,,,
414,5/9/2023,CUST414,Male,48,Beauty,4,25,100,May,46-55,,,,,,,,,,,,,,
415,1/27/2023,CUST415,Male,53,Clothing,2,30,60,January,46-55,,,,,,,,,,,,,,
416,2/17/2023,CUST416,Male,53,Electronics,4,500,2000,February,46-55,,,,,,,,,,,,,,
417,11/21/2023,CUST417,Male,43,Electronics,3,300,900,November,36-45,,,,,,,,,,,,,,
418,8/5/2023,CUST418,Female,60,Electronics,2,500,1000,August,56+,,,,,,,,,,,,,,
419,5/22/2023,CUST419,Female,44,Clothing,3,30,90,May,36-45,,,,,,,,,,,,,,
420,1/23/2023,CUST420,Female,22,Clothing,4,500,2000,January,18-25,,,,,,,,,,,,,,
421,1/2/2023,CUST421,Female,37,Clothing,3,500,1500,January,36-45,,,,,,,,,,,,,,
422,6/20/2023,CUST422,Female,28,Clothing,3,30,90,June,26-35,,,,,,,,,,,,,,
423,3/8/2023,CUST423,Female,27,Clothing,1,25,25,March,26-35,,,,,,,,,,,,,,
424,11/23/2023,CUST424,Male,57,Beauty,4,300,1200,November,56+,,,,,,,,,,,,,,
425,5/15/2023,CUST425,Female,55,Electronics,4,30,120,May,46-55,,,,,,,,,,,,,,
426,3/24/2023,CUST426,Male,23,Electronics,3,50,150,March,18-25,,,,,,,,,,,,,,
427,8/15/2023,CUST427,Male,25,Electronics,1,25,25,August,18-25,,,,,,,,,,,,,,
428,10/10/2023,CUST428,Female,40,Electronics,4,50,200,October,36-45,,,,,,,,,,,,,,
429,12/28/2023,CUST429,Male,64,Electronics,2,25,50,December,56+,,,,,,,,,,,,,,
430,8/7/2023,CUST430,Female,43,Electronics,3,300,900,August,36-45,,,,,,,,,,,,,,
431,10/15/2023,CUST431,Male,63,Electronics,4,300,1200,October,56+,,,,,,,,,,,,,,
432,1/5/2023,CUST432,Female,60,Electronics,2,500,1000,January,56+,,,,,,,,,,,,,,
433,2/27/2023,CUST433,Male,29,Beauty,4,50,200,February,26-35,,,,,,,,,,,,,,
434,2/8/2023,CUST434,Female,43,Electronics,2,25,50,February,36-45,,,,,,,,,,,,,,
435,12/20/2023,CUST435,Female,30,Beauty,3,300,900,December,26-35,,,,,,,,,,,,,,
436,3/18/2023,CUST436,Female,57,Clothing,4,30,120,March,56+,,,,,,,,,,,,,,
437,10/7/2023,CUST437,Female,35,Electronics,4,300,1200,October,26-35,,,,,,,,,,,,,,
438,1/19/2023,CUST438,Female,42,Clothing,1,30,30,January,36-45,,,,,,,,,,,,,,
439,7/9/2023,CUST439,Male,50,Clothing,3,25,75,July,46-55,,,,,,,,,,,,,,
440,10/26/2023,CUST440,Male,64,Clothing,2,300,600,October,56+,,,,,,,,,,,,,,
441,10/10/2023,CUST441,Male,57,Beauty,4,300,1200,October,56+,,,,,,,,,,,,,,
442,3/17/2023,CUST442,Female,60,Clothing,4,25,100,March,56+,,,,,,,,,,,,,,
443,8/9/2023,CUST443,Male,29,Clothing,2,300,600,August,26-35,,,,,,,,,,,,,,
444,3/7/2023,CUST444,Female,61,Clothing,3,30,90,March,56+,,,,,,,,,,,,,,
445,1/22/2023,CUST445,Female,53,Electronics,1,300,300,January,46-55,,,,,,,,,,,,,,
446,6/7/2023,CUST446,Male,21,Electronics,1,50,50,June,18-25,,,,,,,,,,,,,,
447,7/6/2023,CUST447,Male,22,Beauty,4,500,2000,July,18-25,,,,,,,,,,,,,,
448,1/21/2023,CUST448,Female,54,Beauty,2,30,60,January,46-55,,,,,,,,,,,,,,
449,7/3/2023,CUST449,Male,25,Electronics,4,50,200,July,18-25,,,,,,,,,,,,,,
450,4/18/2023,CUST450,Female,59,Beauty,2,25,50,April,56+,,,,,,,,,,,,,,
451,12/16/2023,CUST451,Female,45,Electronics,1,30,30,December,36-45,,,,,,,,,,,,,,
452,5/8/2023,CUST452,Female,48,Clothing,3,500,1500,May,46-55,,,,,,,,,,,,,,
453,12/8/2023,CUST453,Female,26,Clothing,2,500,1000,December,26-35,,,,,,,,,,,,,,
454,2/22/2023,CUST454,Female,46,Beauty,1,25,25,February,46-55,,,,,,,,,,,,,,
455,7/1/2023,CUST455,Male,31,Electronics,4,25,100,July,26-35,,,,,,,,,,,,,,
456,10/14/2023,CUST456,Male,57,Electronics,2,30,60,October,56+,,,,,,,,,,,,,,
457,7/28/2023,CUST457,Female,58,Beauty,3,300,900,July,56+,,,,,,,,,,,,,,
458,11/14/2023,CUST458,Female,39,Electronics,4,25,100,November,36-45,,,,,,,,,,,,,,
459,3/21/2023,CUST459,Male,28,Clothing,4,300,1200,March,26-35,,,,,,,,,,,,,,
460,5/2/2023,CUST460,Male,40,Beauty,1,50,50,May,36-45,,,,,,,,,,,,,,
461,3/25/2023,CUST461,Female,18,Beauty,2,500,1000,March,18-25,,,,,,,,,,,,,,
462,4/1/2023,CUST462,Male,63,Electronics,4,300,1200,April,56+,,,,,,,,,,,,,,
463,7/31/2023,CUST463,Female,54,Beauty,3,500,1500,July,46-55,,,,,,,,,,,,,,
464,1/13/2023,CUST464,Male,38,Electronics,2,300,600,January,36-45,,,,,,,,,,,,,,
465,4/2/2023,CUST465,Female,43,Electronics,3,50,150,April,36-45,,,,,,,,,,,,,,
466,6/20/2023,CUST466,Male,63,Electronics,4,25,100,June,56+,,,,,,,,,,,,,,
467,7/30/2023,CUST467,Female,53,Electronics,3,50,150,July,46-55,,,,,,,,,,,,,,
468,12/9/2023,CUST468,Male,40,Electronics,1,25,25,December,36-45,,,,,,,,,,,,,,
469,5/8/2023,CUST469,Male,18,Beauty,3,25,75,May,18-25,,,,,,,,,,,,,,
470,5/17/2023,CUST470,Female,57,Clothing,2,500,1000,May,56+,,,,,,,,,,,,,,
471,3/23/2023,CUST471,Male,32,Clothing,3,50,150,March,26-35,,,,,,,,,,,,,,
472,12/26/2023,CUST472,Female,38,Beauty,3,300,900,December,36-45,,,,,,,,,,,,,,
473,2/25/2023,CUST473,Male,64,Beauty,1,50,50,February,56+,,,,,,,,,,,,,,
474,7/15/2023,CUST474,Female,26,Clothing,3,500,1500,July,26-35,,,,,,,,,,,,,,
475,1/20/2023,CUST475,Male,26,Clothing,3,25,75,January,26-35,,,,,,,,,,,,,,
476,8/29/2023,CUST476,Female,27,Clothing,4,500,2000,August,26-35,,,,,,,,,,,,,,
477,4/24/2023,CUST477,Male,43,Clothing,4,30,120,April,36-45,,,,,,,,,,,,,,
478,4/13/2023,CUST478,Female,58,Clothing,2,30,60,April,56+,,,,,,,,,,,,,,
479,8/24/2023,CUST479,Male,52,Electronics,4,300,1200,August,46-55,,,,,,,,,,,,,,
480,6/29/2023,CUST480,Female,42,Beauty,4,500,2000,June,36-45,,,,,,,,,,,,,,
481,6/6/2023,CUST481,Female,43,Electronics,4,300,1200,June,36-45,,,,,,,,,,,,,,
482,4/27/2023,CUST482,Female,28,Clothing,4,300,1200,April,26-35,,,,,,,,,,,,,,
483,4/25/2023,CUST483,Male,55,Clothing,1,30,30,April,46-55,,,,,,,,,,,,,,
484,1/13/2023,CUST484,Female,19,Clothing,4,300,1200,January,18-25,,,,,,,,,,,,,,
485,12/4/2023,CUST485,Male,24,Electronics,1,30,30,December,18-25,,,,,,,,,,,,,,
486,4/9/2023,CUST486,Female,35,Electronics,1,25,25,April,26-35,,,,,,,,,,,,,,
487,7/24/2023,CUST487,Male,44,Clothing,4,500,2000,July,36-45,,,,,,,,,,,,,,
488,6/18/2023,CUST488,Female,51,Electronics,3,300,900,June,46-55,,,,,,,,,,,,,,
489,5/23/2023,CUST489,Male,44,Electronics,1,30,30,May,36-45,,,,,,,,,,,,,,
490,2/5/2023,CUST490,Male,34,Clothing,3,50,150,February,26-35,,,,,,,,,,,,,,
491,5/23/2023,CUST491,Female,60,Electronics,3,300,900,May,56+,,,,,,,,,,,,,,
492,6/29/2023,CUST492,Male,61,Beauty,4,25,100,June,56+,,,,,,,,,,,,,,
